original	reordered
Degenne Juliette	Juliette Degenne
Gréco Juliette	Juliette Gréco
Jérome Juliette	Juliette Jérome
Pacley Juliette	Juliette Pacley
Chabaga Karina	Karina Chabaga
Amaizo Katy	Katy Amaizo
Badie Laurence	Laurence Badie
Leauté Laurence	Laurence Leauté
Mercier Laurence	Laurence Mercier
Weber Laurence	Laurence Weber
Baffie Laurent	Laurent Baffie
Benegui Laurent	Laurent Benegui
Malet Léo	Léo Malet
Deutsch Léon	Léon Deutsch
Peillard Léonce	Léonce Peillard
Carolles Liliane	Liliane Carolles
Gaudet Liliane	Liliane Gaudet
Godet Liliane	Liliane Godet
Sorval Liliane	Liliane Sorval
Siou Lily	Lily Siou
Méloche Line	Line Méloche
Noro Line	Line Noro
Lemercier Linette	Linette Lemercier
Livane Lisa	Lisa Livane
Lemaire Lisette	Lisette Lemaire
Brabant Loïc	Loïc Brabant
Pichon Loïc	Loïc Pichon
Bellon Loleh	Loleh Bellon
Arbessier Louis	Louis Arbessier
Chavance Louis	Louis Chavance
Ducreux Louis	Louis Ducreux
Matabon Louis	Louis Matabon
Rognoni Louis	Louis Rognoni
Roubaud Louis	Louis Roubaud
Seigner Louis	Louis Seigner
Thomas Louis	Louis Thomas
Velle Louis	Louis Velle
Conte Louise	Louise Conte
Debrackel Louise	Louise Debrackel
Sylvie Louise	Louise Sylvie
Ritz Luc	Luc Ritz
Dolene Lucie	Lucie Dolene
Barjon Lucien	Lucien Barjon
Frégis Lucien	Lucien Frégis
Guervil Lucien	Lucien Guervil
Nat Lucien	Lucien Nat
Plaissy Lucien	Lucien Plaissy
Plessis Lucien	Lucien Plessis
Raimbourg Lucien	Lucien Raimbourg
Givry Lucienne	Lucienne Givry
Legrand Lucienne	Lucienne Legrand
Lemarchand Lucienne	Lucienne Lemarchand
Letondal Lucienne	Lucienne Letondal
Troka Lucienne	Lucienne Troka
Hols Ludmilla	Ludmilla Hols
Zaréna Lydia	Lydia Zaréna
Barbulée Madeleine	Madeleine Barbulée
Clervanne Madeleine	Madeleine Clervanne
Duret Madeleine	Madeleine Duret
Lambert Madeleine	Madeleine Lambert
Ozeray Madeleine	Madeleine Ozeray
Robinson Madeleine	Madeleine Robinson
Sola Madeleine	Madeleine Sola
Sylvain Madeleine	Madeleine Sylvain
Vimes Madeleine	Madeleine Vimes
Avril Mag	Mag Avril
Simon Maïa	Maïa Simon
Ribovska Malka	Malka Ribovska
Ribowska Malka	Malka Ribowska
Gourary Manuela	Manuela Gourary
Barthod Many	Many Barthod
Cassot Marc	Marc Cassot
Darnault Marc	Marc Darnault
Duret Marc	Marc Duret
Fayolle Marc	Marc Fayolle
Lamole Marc	Marc Lamole
Pheline Marc	Marc Pheline
André Marcel	Marcel André
Bozzuffi Marcel	Marcel Bozzuffi
Cariven Marcel	Marcel Cariven
Charvey Marcel	Marcel Charvey
Hauriac Marcel	Marcel Hauriac
Lestan Marcel	Marcel Lestan
Roma Marcel	Marcel Roma
Sicard Marcel	Marcel Sicard
Tristani Marcel	Marcel Tristani
Dornac Marcelle	Marcelle Dornac
Géniat Marcelle	Marcelle Géniat
Hainia Marcelle	Marcelle Hainia
Praince Marcelle	Marcelle Praince
Ranson Marcelle	Marcelle Ranson
Lion Margo	Margo Lion
Neville Margot	Margot Neville
Cassan Marguerite	Marguerite Cassan
Perrin Marguerite	Marguerite Perrin
Pierry Marguerite	Marguerite Pierry
Laborit Maria	Maria Laborit
Mauban Maria	Maria Mauban
Tamar Maria	Maria Tamar
Dubois Marie	Marie Dubois
Letourneur Marie	Marie Letourneur
Martine Marie	Marie Martine
Vouilloux Marie	Marie Vouilloux
Ropp Mario	Mario Ropp
Game Marion	Marion Game
Mercadier Marthe	Marthe Mercadier
Lewis Martin	Martin Lewis
Trévières Martin	Martin Trévières
Couture Martine	Martine Couture
Ferrière Martine	Martine Ferrière
Sarcey Martine	Martine Sarcey
Marie Martine-actrice	Martine-actrice Marie
Paillet Maryse	Maryse Paillet
Ortlieb Mathieu	Mathieu Ortlieb
Casadesus Mathilde	Mathilde Casadesus
Rayer Maud	Maud Rayer
Barnay Maurice	Maurice Barnay
Bastide Maurice	Maurice Bastide
Biraud Maurice	Maurice Biraud
Bourbon Maurice	Maurice Bourbon
Chevit Maurice	Maurice Chevit
Cury Maurice	Maurice Cury
Decraiene Maurice	Maurice Decraiene
Dekobra Maurice	Maurice Dekobra
Dorleac Maurice	Maurice Dorleac
Ellabert Maurice	Maurice Ellabert
Marrou Maurice	Maurice Marrou
Nasil Maurice	Maurice Nasil
Pierrat Maurice	Maurice Pierrat
Renard Maurice	Maurice Renard
Renault Maurice	Maurice Renault
Roland Maurice	Maurice Roland
Ronet Maurice	Maurice Ronet
Sarfati Maurice	Maurice Sarfati
Teynac Maurice	Maurice Teynac
Travail Maurice	Maurice Travail
Amyl Max	Max Amyl
Harry Max	Max Harry
Megy Max	Max Megy
Aubin Maxime	Maxime Aubin
Halliday Michael	Michael Halliday
Underwood Michael	Michael Underwood
Averlant Michel	Michel Averlant
Barbey Michel	Michel Barbey
Beaume Michel	Michel Beaume
Beaune Michel	Michel Beaune
Bouquet Michel	Michel Bouquet
Boy Michel	Michel Boy
Clainchy Michel	Michel Clainchy
Cousin Michel	Michel Cousin
Creton Michel	Michel Creton
Dodane Michel	Michel Dodane
Dumur Michel	Michel Dumur
Duplessis Michel	Michel Duplessis
Etcheverry Michel	Michel Etcheverry
Ferrand Michel	Michel Ferrand
Fiszbin Michel	Michel Fiszbin
Fizbin Michel	Michel Fizbin
Fustier Michel	Michel Fustier
Granvale Michel	Michel Granvale
Lebrun Michel	Michel Lebrun
Mery Michel	Michel Mery
Morano Michel	Michel Morano
Nastorg Michel	Michel Nastorg
Parier Michel	Michel Parier
Paulin Michel	Michel Paulin
Piccoli Michel	Michel Piccoli
Puterflam Michel	Michel Puterflam
Renault Michel	Michel Renault
Ruhl Michel	Michel Ruhl
Tureau Michel	Michel Tureau
Vigne Michel	Michel Vigne
Vitold Michel	Michel Vitold
Lituac Michèle	Michèle Lituac
Montel Michele	Michele Montel
Monti Michele	Michele Monti
Bona Micheline	Micheline Bona
Boudet Micheline	Micheline Boudet
Dupre Micheline	Micheline Dupre
Francey Micheline	Micheline Francey
Luccioni Micheline	Micheline Luccioni
Konkoly Miklos	Miklos Konkoly
Burton Miles	Miles Burton
Dol Mona	Mona Dol
Gérard Monique	Monique Gérard
Guerin Monique	Monique Guerin
Martial Monique	Monique Martial
Morisi Monique	Monique Morisi
Saintey Monique	Monique Saintey
Thierry Monique	Monique Thierry
Dalmès Mony	Mony Dalmès
Chaney Muriel	Muriel Chaney
Barentin Nadia	Nadia Barentin
Alari Nadine	Nadine Alari
Basile Nadine	Nadine Basile
Jadot Nathalie	Nathalie Jadot
Nerval Nathalie	Nathalie Nerval
Hawthorne Nathaniel	Nathaniel Hawthorne
Allard Nelly	Nelly Allard
Benedetti Nelly	Nelly Benedetti
Borgeaud Nelly	Nelly Borgeaud
Delmas Nelly	Nelly Delmas
Jonquille Népomucène	Népomucène Jonquille
Blake Nicholas	Nicholas Blake
Amato Nicolas	Nicolas Amato
Marie Nicolas	Nicolas Marie
Courcel Nicole	Nicole Courcel
Favart Nicole	Nicole Favart
Gueden Nicole	Nicole Gueden
Jamet Nicole	Nicole Jamet
Parrot Nicole	Nicole Parrot
Strauss Nicole	Nicole Strauss
Vervil Nicole	Nicole Vervil
Frank Nino	Nino Frank
Barbey Noël	Noël Barbey
Calef Noël	Noël Calef
Hussenot Noëlle	Noëlle Hussenot
Barrois Odette	Odette Barrois
Laure Odette	Odette Laure
Joris Olivier	Olivier Joris
Schisgal Oscar	Oscar Schisgal
Wilde Oscar	Oscar Wilde
Mazzotti Pascal	Pascal Mazzotti
Galbeau Patrice	Patrice Galbeau
Highsmith Patricia	Patricia Highsmith
Vilon Patricia	Patricia Vilon
Bancarel Patrick	Patrick Bancarel
Delhalle Patrick	Patrick Delhalle
Maurin Patrick	Patrick Maurin
Pessis Patrick	Patrick Pessis
Préjean Patrick	Patrick Préjean
Alexandre Paul	Paul Alexandre
Amiot Paul	Paul Amiot
Bourget Paul	Paul Bourget
Cambo Paul	Paul Cambo
Chevalier Paul	Paul Chevalier
Crauchet Paul	Paul Crauchet
Demange Paul	Paul Demange
Enteric Paul	Paul Enteric
Faivre Paul	Paul Faivre
Frankeur Paul	Paul Frankeur
Gérard Paul	Paul Gérard
Mulder Paul	Paul Mulder
Rieger Paul	Paul Rieger
Siraudin Paul	Paul Siraudin
Swam Paul	Paul Swam
Vandenberghe Paul	Paul Vandenberghe
Villé Paul	Paul Villé
Regier Paula	Paula Regier
Emanuèle Paule	Paule Emanuèle
Fainval Paule	Paule Fainval
Dubost Paulette	Paulette Dubost
Franck Paulette	Paulette Franck
Frantz Paulette	Paulette Frantz
Simonin Paulette	Paulette Simonin
Carton Pauline	Pauline Carton
Larrieu Pauline	Pauline Larrieu
Chauveau Philippe	Philippe Chauveau
Clay Philippe	Philippe Clay
Coypel Philippe	Philippe Coypel
Derrez Philippe	Philippe Derrez
Dumas Philippe	Philippe Dumas
Dumat Philippe	Philippe Dumat
Etesse Philippe	Philippe Etesse
Guinard Philippe	Philippe Guinard
Hébert Philippe	Philippe Hébert
Laudenbach Philippe	Philippe Laudenbach
Lemaire Philippe	Philippe Lemaire
Mareuil Philippe	Philippe Mareuil
Moreau Philippe	Philippe Moreau
Nahon Philippe	Philippe Nahon
Nicaud Philippe	Philippe Nicaud
Toury Philippe	Philippe Toury
Sorano Piella	Piella Sorano
Amel Pierre	Pierre Amel
Apesteguy Pierre	Pierre Apesteguy
Billard Pierre	Pierre Billard
Blanchard Pierre	Pierre Blanchard
Boileau Pierre	Pierre Boileau
Bonzans Pierre	Pierre Bonzans
Collet Pierre	Pierre Collet
Constant Pierre	Pierre Constant
Dac Pierre	Pierre Dac
Decazes Pierre	Pierre Decazes
Delbon Pierre	Pierre Delbon
Destailles Pierre	Pierre Destailles
Ferval Pierre	Pierre Ferval
Forquin Pierre	Pierre Forquin
Frachet Pierre	Pierre Frachet
Franck Pierre	Pierre Franck
Frenel Pierre	Pierre Frenel
Fresnay Pierre	Pierre Fresnay
Fromont Pierre	Pierre Fromont
Gallon Pierre	Pierre Gallon
Garin Pierre	Pierre Garin
Humbourg Pierre	Pierre Humbourg
Lafont Pierre	Pierre Lafont
Lamblin Pierre	Pierre Lamblin
Laroche Pierre	Pierre Laroche
Larquey Pierre	Pierre Larquey
Latour Pierre	Pierre Latour
Léaud Pierre	Pierre Léaud
Leproux Pierre	Pierre Leproux
Marteville Pierre	Pierre Marteville
Michael Pierre	Pierre Michael
Mirat Pierre	Pierre Mirat
Moncorbier Pierre	Pierre Moncorbier
Mondy Pierre	Pierre Mondy
Nord Pierre	Pierre Nord
Olaf Pierre	Pierre Olaf
Olivier Pierre	Pierre Olivier
Palau Pierre	Pierre Palau
Peloux Pierre	Pierre Peloux
Pernet Pierre	Pierre Pernet
Peyrou Pierre	Pierre Peyrou
Plessis Pierre	Pierre Plessis
Risch Pierre	Pierre Risch
Rolland Pierre	Pierre Rolland
Royer Pierre	Pierre Royer
Santini Pierre	Pierre Santini
Siniac Pierre	Pierre Siniac
Stephen Pierre	Pierre Stephen
Trabaud Pierre	Pierre Trabaud
Vaneck Pierre	Pierre Vaneck
Vernier Pierre	Pierre Vernier
Véry Pierre	Pierre Véry
Ville Pierre	Pierre Ville
Castan Pierrette	Pierrette Castan
Salik Rachel	Rachel Salik
Messac Ralph	Ralph Messac
Curet Raoul	Raoul Curet
Guillet Raoul	Raoul Guillet
Marco Raoul	Raoul Marco
Praxy Raoul	Raoul Praxy
Patorni Raphaël	Raphaël Patorni
Baillet Raymond	Raymond Baillet
Chandler Raymond	Raymond Chandler
Chilot Raymond	Raymond Chilot
Faure Raymond	Raymond Faure
Jourdan Raymond	Raymond Jourdan
Pelissier Raymond	Raymond Pelissier
Pellegrin Raymond	Raymond Pellegrin
Verney Raymonde	Raymonde Verney
Blaess Régine	Régine Blaess
Chantal Régine	Régine Chantal
Serva Régine	Régine Serva
Jauffret Régis	Régis Jauffret
Delage Rémy	Rémy Delage
Kirch Rémy	Rémy Kirch
Sibel Rémy	Rémy Sibel
Mary Renaud	Renaud Mary
Cambien René	René Cambien
Cardona René	René Cardona
Clermont René	René Clermont
Dary René	René Dary
Farabet René	René Farabet
Fleur René	René Fleur
Garcia René	René Garcia
Guillot René	René Guillot
Havard René	René Havard
Hiéronimus René	René Hiéronimus
Lefèvre René	René Lefèvre
Lemaire René	René Lemaire
Pascal René	René Pascal
Renaud René	René Renaud
Renot René	René Renot
Smith René	René Smith
Sussan René	René Sussan
Barell Renée	Renée Barell
Gardes Renée	Renée Gardes
Vernes Renée	Renée Vernes
Webb Richard	Richard Webb
Arnoux Robert	Robert Arnoux
Aubry Robert	Robert Aubry
Basil Robert	Robert Basil
Basile Robert	Robert Basile
Chandeau Robert	Robert Chandeau
Dadies Robert	Robert Dadies
Dalban Robert	Robert Dalban
Darame Robert	Robert Darame
Deslandes Robert	Robert Deslandes
Favart Robert	Robert Favart
Guilmet Robert	Robert Guilmet
Marcy Robert	Robert Marcy
Martin Robert	Robert Martin
Maufras Robert	Robert Maufras
Mercier Robert	Robert Mercier
Miller Robert	Robert Miller
Murzeau Robert	Robert Murzeau
Nahmias Robert	Robert Nahmias
Party Robert	Robert Party
Rollis Robert	Robert Rollis
Bret Roger	Roger Bret
Carel Roger	Roger Carel
Coggio Roger	Roger Coggio
Couderc Roger	Roger Couderc
Crouzet Roger	Roger Crouzet
Dathys Roger	Roger Dathys
Faller Roger	Roger Faller
Hanin Roger	Roger Hanin
Iglesis Roger	Roger Iglesis
Maridat Roger	Roger Maridat
Monclin Roger	Roger Monclin
Peyrou Roger	Roger Peyrou
Régent Roger	Roger Régent
Richard Roger	Roger Richard
Trecan Roger	Roger Trecan
Ménard Roland	Roland Ménard
Favey Rosine	Rosine Favey
Varte Rosy	Rosy Varte
Ravel Sabine	Sabine Ravel
Nair Savitri	Savitri Nair
Blumenthal Serge	Serge Blumenthal
Douay Serge	Serge Douay
Petrof Serge	Serge Petrof
Reggiani Serge	Serge Reggiani
Rousseau Serge	Serge Rousseau
Sauvion Serge	Serge Sauvion
Donati Sergio	Sergio Donati
Monfort Silvia	Silvia Monfort
Arbellot Simon	Simon Arbellot
Landry Simone	Simone Landry
Matil Simone	Simone Matil
Certain Solange	Solange Certain
Bouilloux Sophie	Sophie Bouilloux
Jeney Sophie	Sophie Jeney
Frattini Stéphane	Stéphane Frattini
Cely Suzanne	Suzanne Cely
Courtal Suzanne	Suzanne Courtal
Flon Suzanne	Suzanne Flon
Perel Suzanne	Suzanne Perel
Goffre Suzel	Suzel Goffre
Dornac Suzy	Suzy Dornac
Hannier Suzy	Suzy Hannier
Prim Suzy	Suzy Prim
Boue Swany	Swany Boue
Joubert Sylvain	Sylvain Joubert
Margolle Sylviane	Sylviane Margolle
Artel Sylvie	Sylvie Artel
Denis Sylvie	Sylvie Denis
Desilles Sylvie	Sylvie Desilles
Favre Sylvie	Sylvie Favre
Février Sylvie	Sylvie Février
Georges Sylvie	Sylvie Georges
Joly Sylvie	Sylvie Joly
Moreau Sylvie	Sylvie Moreau
Pelayo Sylvie	Sylvie Pelayo
Simon Sylvie	Sylvie Simon
Delannoy Sylvine	Sylvine Delannoy
Powell Talmage	Talmage Powell
Balachova Tania	Tania Balachova
Bilis Teddy	Teddy Bilis
Beccaro Thierry	Thierry Beccaro
Lefevre Thierry	Thierry Lefevre
Narcejac Thomas	Thomas Narcejac
Taffin Tony	Tony Taffin
Bernard Tristan	Tristan Bernard
Bonnier Valérie	Valérie Bonnier
Feyder Véra	Véra Feyder
Sudry Véronique	Véronique Sudry
Corot Vicky	Vicky Corot
Messica Vicky	Vicky Messica
Ropion Vincent	Vincent Ropion
Ledieu Virginie	Virginie Ledieu
Gosset Viviane	Viviane Gosset
Collins Wilkie	Wilkie Collins
Irish William	William Irish
Sabatier William	William Sabatier
Renoult Xavier	Xavier Renoult
Paranthoën Yann	Yann Paranthoën
Boisyvon Yannick	Yannick Boisyvon
Noé Yvan	Yvan Noé
Arcanel Yves	Yves Arcanel
Boisyvon Yves	Yves Boisyvon
Brainville Yves	Yves Brainville
Deniaud Yves	Yves Deniaud
Duchateau Yves	Yves Duchateau
Furet Yves	Yves Furet
Gladine Yves	Yves Gladine
Jamiaque Yves	Yves Jamiaque
Peneau Yves	Yves Peneau
Pignot Yves	Yves Pignot
Rénier Yves	Yves Rénier
Clech Yvonne	Yvonne Clech
Decade Yvonne	Yvonne Decade
Gaudeau Yvonne	Yvonne Gaudeau
Villeroy Yvonne	Yvonne Villeroy
Achard Marie Claire	Marie Claire Achard
Addington Symonds Francis	Francis Addington Symonds
Amato Jean Marie	Jean-Marie Amato
Arlaud Rodolphe Maurice	Rodolphe-Maurice Arlaud
Arnaud Georges Jean	Georges-Jean Arnaud
Aslanian Jean Jacques	Jean-Jacques Aslanian
Assia-chanteuse	Assia Maouène
Augier Marthe Anne	Marthe-Anne Augier
Baecker Raymond de	Raymond de Baecker
Balzac Honoré de	Honoré de Balzac
Beaupré Jacques de	Jacques de Beaupré
Bentley Edmund Clerihew	Edmund Clerihew Bentley
Bermat Jean Louis	Jean-Louis Bermat
Bernard Jean Pierre	Jean-Pierre Bernard
Bertaud Jean Paul	Jean-Paul Bertaud
Berthaud Jean Paul	Jean-Paul Bertaud
Blondeau Jacques Adrien	Jacques-Adrien Blondeau
Bomier Georges Gabriel	Georges-Gabriel Bomier
Botton Isabelle de	Isabelle de Botton
Bouillaud Jean Claude	Jean-Claude Bouillaud
Bramley Moore Zelma	Zelma Bramley Moore
Brandt Jane Lewis	Jane Lewis Brandt
Calvet Jean Louis	Louis-Jean Calvet
Calvé Jean François	Louis-Jean Calvet
Cassel Jean Pierre	Jean-Pierre Cassel
Caussimon Jean Roger	Jean-Roger Caussimon
Cervioni Louis Thomas	Louis Thomas Cervioni
Chauffard René Jacques	René-Jacques Chauffard
Clary Hugues G	Hugues G. Clary
Cluzeau Louis Michel	Louis-Michel Cluzeau
Coffinet Anne Marie	Anne-Marie Coffinet
Colas Jean Pierre	Jean-Pierre Colas
Conan Doyle Arthur	Arthur Conan Doyle
Conty Jean Pierre	Jean-Pierre Conty
Coquelin Jean Paul	Jean-Paul Coquelin
Daniel Norman Jacques	Jacques Daniel-Norman
Darras Jean Pierre	Jean-Pierre Darras
Daste Marie Hélène	Marie-Hélène Daste
Delbo Jean Jacques	Jean-Jacques Delbo
Demantes Jean Jacques	Jean-Jacques Demantes
Du Boisgobey Fortuné	Fortuné Du Boisgobey
Duprez Gilbert Maurice	Gilbert Maurice Duprez
Dutilh Jean Claude	Jean-Claude Dutilh
Duverney Anne Marie	Anne-Marie Duverney
Endrebe Maurice Bernard	Maurice-Bernard Endrèbe
Fabre Jacques Henri	Jacques-Henri Fabre
Ferrière Jean Pierre	Jean-Pierre Ferrière
Fertey Jean Marie	Jean-Marie Fertey
Ferté Jean Marie	Jean-Marie Fertey
Fonteneau Jean Marie	Jean-Marie Fonteneau
Fournas Rémi de	Rémi de Fournas
Funès Louis de	Louis de Funès
Fusier Gir Jeanne	Jeanne Fusier-Gir
Gaget Jean Luc	Jean-Luc Gaget
Gantzer Marie France	Marie-France Gantzer
Gardien Marie Jeanne	Marie-Jeanne Gardien
Garrett Jean Wilfrid	Jean-Wilfrid Garret
Gattey Charles Neilson	Charles Neilson Gattey
Goustine Luc de	Luc de Goustine
Grégoire Jean Albert	Jean-Albert Grégoire
Hoffmann Ernst Theodor	Ernst Theodor Amadeus Hoffmann
Horwitz Jean Louis	Jean-Louis Horwitz
Houdinière Jean Claude	Jean-Claude Houdinière
Jandeline	Jandeline
Jemma Jean Louis	Jean-Louis Jemma
Jolivet Pierre Alain	Pierre-Alain Jolivet
Josselin Jean François	Jean-François Josselin
Kayser Jean Luc	Jean-Luc Kayser
Kset Manuel de	Manuel de Kset
Lafforest Roger de	Roger de Lafforest
Lallemand Jean Claude	Jean-Claude Lallemand
Lanaut Christian de	Christian de Lanaut
Lapparent Hubert de	Hubert de Lapparent
Las Vergnas Raymond	Raymond Las Vergnas
Le Bail Françoise	Françoise Le Bail
Le Beal Robert	Robert Le Béal
Le Couey Catherine	Catherine Le Couey
Le Fol Anne	Anne Le Fol
Le Lann Marc	Marc Le Lann
Le Person Paul	Paul Le Person
Leroux Jean Pierre	Jean-Pierre Leroux
Lituac Jean Pierre	Jean-Pierre Lituac
Lorac Edith Caroline Rivett	Edith Caroline Rivett Lorac
Mac Avoy Dominique	Dominique Mac Avoy
Mac Cloy Helen	Helen Mac Cloy
Mac Orlan Pierre	Pierre Mac Orlan
Mainty Marie José	Marie-José Mainty
Marielle Jean Pierre	Jean-Pierre Marielle
Maurin Jean Pierre	Jean-Pierre Maurin
Maurin Yves Marie	Yves-Marie Maurin
Maury Jean Louis	Jean-Louis Maury
Michel Jean Claude	Jean-Claude Michel
Mineur Guy Pierre	Guy-Pierre Mineur
Moreau Jean Luc	Jean-Luc Moreau
Morin Jean Pierre	Jean-Pierre Morin
Morin Yves Marie	Yves-Marie Morin
Moulinot Jean Paul	Jean-Paul Moulinot
Nerval Gérard de	Gérard de Nerval
Nesi Marie Pascale	Marie-Pascale Nesi
Noyes Hart Frances	Frances Noyes Hart
Noël Jean Jacques	Jean-Jacques Noël
Orchestre lyrique de l'ORTF	Orchestre lyrique de l'ORTF
Pascal Jean Claude	Jean-Claude Pascal
Peumery Suzanne Edith	Suzanne Edith Peumery
Pham Van Ky	Pham Van Ky
Pillet Marie Thérèse	Marie-Thérèse Pillet
Poe Edgar Allan	Edgar Allan Poe
Porret Jean Luc	Jean-Luc Porret
Puente Pierre Henri	Pierre-Henri Puente
Richard Henri Charles	Henri-Charles Richard
Richepin Jean Paul	Jean-Paul Richepin
Rivage Gabriel de	Gabriel de Rivage
Rivière Marie France	Marie-France Rivière
Rochand Anne Marie	Anne-Marie Rochand
Rémi Jean François	Jean-François Rémi
Saint Bris Richard	Richard Saint-Bris
Saint Georges Henri	Henri Saint-Georges
Saint Sot Cathie	Cathie Saint-Sot
Steen Jean Jacques	Jean-Jacques Steen
Tamaris Jean Paul	Jean-Paul Tamaris
Terrex Jean Luc	Jean-Luc Terrex
Thibault Jean Charles	Jean-Charles Thibault
Tiémélé Jean Baptiste	Jean-Baptiste Tiémélé
Tobler Jean Marc	Jean-Marc Tobler
Trintignant Jean Louis	Jean-Louis Trintignant
Vallé Valdy Armand	Armand Vallé Valdy
Vergne Marie Blanche	Marie-Blanche Vergne
Vierne Jean Jacques	Jean-Jacques Vierne
Villiers de L'Isle Adam Auguste de	Adam Auguste de Villiers de L'Isle
Wartel Jean Pierre	Jean-Pierre Wartel
Yd Jean d'	Jean d'Yd
Zie Me Daniel	Daniel Zié-Mé
